"","institution","state","plan","city","sector","groffer","hbcu","hospital","locale","c18ugprf","f1systyp","countynm","Size","Application","Enrollment","Endowment","Total_Expense","Total_Revenue","Total_Liabilities","Tuition","Total_Asset","Type","Gift","calsys","slo","dstnugc","dstngc","distcrs","disabpct","alloncam","room","roomcap","board","indistrictug","instateug","outstateug","indistrictg","instateg","outstateg","eftotlt_1","eftotlt_2","eftotlt_12","eftotlt_21","eftotlt_22","eftotlt_32","eftotlt_41","eftotlt_42","eftotlt_52","number_locations","internationals","efdeexc_1","efdeexc_2","efdeexc_3","efdeexc_12","efdesom_1","efdesom_2","efdesom_3","efdesom_12","rrptct","stufacr","eaptot_10000","eaptot_10050","eaptot_27000","eaptot_30000","eaptot_37000","eaptot_10010","eaptot_10020","eaptot_10030","eappt_10000","eappt_10050","eappt_27000","eappt_30000","eappt_37000","eappt_10010","eappt_10020","eappt_10030","state.cases","state.deaths","county.cases","county.deaths","sainstt_7","sa_9mct_7","satotlt_7","sa09mct_7","sa10mct_7","sa11mct_7","sa12mct_7","saoutlt_7","sa09mot_7","sa10mot_7","sa11mot_7","sa12mot_7","saeq9ot_7","saeq9at_7","sa09mat_7","sa10mat_7","sa11mat_7","sa12mat_7","sainstt_1","sa_9mct_1","satotlt_1","sa09mct_1","sa10mct_1","sa11mct_1","sa12mct_1","saoutlt_1","sa09mot_1","sa10mot_1","sa11mot_1","sa12mot_1","saeq9ot_1","saeq9at_1","sa09mat_1","sa10mat_1","sa11mat_1","sa12mat_1","sainstt_2","sa_9mct_2","satotlt_2","sa09mct_2","sa10mct_2","sa11mct_2","sa12mct_2","saoutlt_2","sa09mot_2","sa10mot_2","sa11mot_2","sa12mot_2","saeq9ot_2","saeq9at_2","sa09mat_2","sa10mat_2","sa11mat_2","sa12mat_2","sainstt_3","sa_9mct_3","satotlt_3","sa09mct_3","sa10mct_3","sa11mct_3","sa12mct_3","saoutlt_3","sa09mot_3","sa10mot_3","sa11mot_3","sa12mot_3","saeq9ot_3","saeq9at_3","sa09mat_3","sa10mat_3","sa11mat_3","sa12mat_3","sainstt_4","sa_9mct_4","satotlt_4","sa09mct_4","sa10mct_4","sa11mct_4","sa12mct_4","saoutlt_4","sa09mot_4","sa10mot_4","sa11mot_4","sa12mot_4","saeq9ot_4","saeq9at_4","sa09mat_4","sa10mat_4","sa11mat_4","sa12mat_4","sainstt_5","sa_9mct_5","satotlt_5","sa09mct_5","sa10mct_5","sa11mct_5","sa12mct_5","saoutlt_5","sa09mot_5","sa10mot_5","sa11mot_5","sa12mot_5","saeq9ot_5","saeq9at_5","sa09mat_5","sa10mat_5","sa11mat_5","sa12mat_5","sainstt_6","sa_9mct_6","satotlt_6","sa09mct_6","sa10mct_6","sa11mct_6","sa12mct_6","saoutlt_6","sa09mot_6","sa10mot_6","sa11mot_6","sa12mot_6","saeq9ot_6","saeq9at_6","sa09mat_6","sa10mat_6","sa11mat_6","sa12mat_6","sanin01","sanin02","sanin03","sanin04","sanin05","sanin06","sanin07","sanin08","sanin09","sanin10","sanin11","sanin12","sanin13","sanin14","sanit01","sanit02","sanit03","sanit04","sanit05","sanit06","sanit07","sanit08","sanit09","sanit10","sanit11","sanit12","sanit13","sanit14","text_length","Sent_Score","Sentiment"
"434","Trinity University","TX","Planning for in-person","San Antonio",1,0,1,1,0,13,1,"Bexar",1,8654,690,1299404638,135618260,221566609,138290364,47588237,1490822753,"Private non-profit",14344814,0,0,0,1,1,10,1,0,2120,1,42360,42360,42360,42360,42360,42360,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,0,19,NA,NA,19,1,NA,NA,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60768,1618,2595,71,255,0,255,248,0,1,6,24934019,23516074,0,138105,1279840,24588924,96427,94823,NA,138105,213307,86,0,86,79,0,1,6,10783805,9365860,0,138105,1279840,10438710,121380,118555,NA,138105,213307,87,0,87,87,0,0,0,8366320,8366320,0,0,0,8366320,96165,96165,NA,NA,NA,70,0,70,70,0,0,0,5143364,5143364,0,0,0,5143364,73477,73477,NA,NA,NA,11,0,11,11,0,0,0,597530,597530,0,0,0,597530,54321,54321,NA,NA,NA,1,0,1,1,0,0,0,43000,43000,0,0,0,43000,43000,43000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537,3,0,55,72,70,42,95,11,55,1,103,26,4,31289023,134000,0,2956997,9318320,4157651,2371536,5137409,534235,2068451,31700,3473973,988552,116199,3151,0.9941,"Positive"
"435","Troy University","AL","Planning for in-person","Troy",0,0,1,1,8,6,1,"Pike",3,7332,1692,120006987,259006244,265278923,420917860,127654039,523422239,"Public",NA,0,1,1,1,1,NA,1,0,2387,0,7800,7800,7800,7650,7650,15300,16981,13452,3529,10305,9161,1144,6676,4291,2385,33,2,6548,4492,4370,2056,2135,1897,1862,238,209,16,2615,1010,445,167,398,1047,274,121,1164,493,384,13,105,489,1,1,16530,591,179,0,541,0,541,0,374,0,167,38133306,0,25085828,0,13047478,32362854,59820,NA,67074,NA,78129,66,0,66,0,39,0,27,6201012,0,3434729,0,2766283,5165968,78272,NA,88070,NA,102455,159,0,159,0,92,0,67,12266347,0,6820013,0,5446334,10222762,64294,NA,74131,NA,81289,154,0,154,0,121,0,33,10489653,0,8165883,0,2323770,9092122,59040,NA,67487,NA,70417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,0,158,0,120,0,38,8805165,0,6546487,0,2258678,7585847,48012,NA,54554,NA,59439,4,0,4,0,2,0,2,371129,0,118716,0,252413,296154,74039,NA,59358,NA,126207,910,0,0,64,154,55,65,191,5,42,34,293,3,4,45230867,0,0,3297479,12465573,2472968,3288588,10779090,306823,1738088,1440226,9230713,104594,106725,2889,-0.1111,"Negative"
"436","Tufts University","MA","Considering a range of scenarios","Medford",1,0,1,1,3,13,1,"Middlesex",3,21501,1484,1845956000,903723548,1054856712,1073953728,398745170,2584173978,"Private non-profit",121091396,0,0,1,1,1,12,1,0,3789,0,55172,55172,55172,51288,51288,51288,11586,5643,5943,10718,5508,5210,868,135,733,53,168,184,0,0,184,139,0,0,139,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94895,6640,20857,1564,819,0,819,578,0,0,241,100330034,66790143,0,0,33539891,91945061,112265,115554,NA,NA,139170,253,0,253,199,0,0,54,41936868,31437085,0,0,10499783,39311922,155383,157975,NA,NA,194440,178,0,178,122,0,0,56,21198749,13355096,0,0,7843653,19237836,108078,109468,NA,NA,140065,225,0,225,99,0,0,126,23631306,9088451,0,0,14542855,19995592,88869,91803,NA,NA,115419,1,0,1,0,0,0,1,125000,0,0,0,125000,93750,93750,NA,NA,NA,125000,162,0,162,158,0,0,4,13438111,12909511,0,0,528600,13305961,82136,81706,NA,NA,132150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2898,273,0,89,482,330,320,152,204,426,0,539,76,7,213843769,19145934,0,6265498,65975390,25626625,25673900,10680646,9588248,19034977,0,26130609,5352064,369878,6468,0.9973,"Positive"
"437","Tulane University of Louisiana","LA","Planning for in-person","New Orleans",1,0,1,0,0,13,1,"Orleans Parish",3,38816,1909,1383967000,967263000,1081583000,977950000,358118000,1696527000,"Private non-profit",93838000,0,1,1,1,1,12,1,0,4071,1,50780,50780,50780,52856,52856,52856,12646,7920,4726,10509,6898,3611,2137,1022,1115,49,94,674,173,173,501,801,695,695,106,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38907,2740,7067,505,794,0,794,674,0,0,120,88444300,72812760,0,0,15631540,84536415,106469,108031,NA,NA,130263,212,0,212,179,0,0,33,34241534,27230536,0,0,7010998,32488785,153249,152126,NA,NA,212454,179,0,179,139,0,0,40,18124010,13272279,0,0,4851731,16911077,94475,95484,NA,NA,121293,200,0,200,171,0,0,29,21259612,18552727,0,0,2706885,20582891,102914,108495,NA,NA,93341,10,0,10,10,0,0,0,640475,640475,0,0,0,640475,64048,64048,NA,NA,NA,190,0,190,172,0,0,18,14068306,13006380,0,0,1061926,13802825,72646,75618,NA,NA,58996,3,0,3,3,0,0,0,110363,110363,0,0,0,110363,36788,36788,NA,NA,NA,2224,74,0,123,670,189,188,187,78,180,0,368,134,33,138101466,4221643,0,5704267,61490016,10758224,11604588,13710115,3286469,6047856,0,14864014,5432577,981697,4560,0.9891,"Positive"
"438","Union College","NY","Planning for in-person","Schenectady",1,1,1,1,2,13,1,"Schenectady",1,6716,571,456500000,132229420,173729255,212182918,66536308,633497670,"Private non-profit",22124467,2,0,0,NA,0,11,1,0,2015,0,54819,54819,54819,NA,NA,NA,2197,2197,NA,2195,2195,NA,2,2,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371559,29438,676,29,209,0,209,209,0,0,0,22111219,22111219,0,0,0,22111219,105795,105795,NA,NA,NA,83,0,83,83,0,0,0,11178128,11178128,0,0,0,11178128,134676,134676,NA,NA,NA,59,0,59,59,0,0,0,5792072,5792072,0,0,0,5792072,98171,98171,NA,NA,NA,48,0,48,48,0,0,0,3724954,3724954,0,0,0,3724954,77603,77603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0,19,19,0,0,0,1416065,1416065,0,0,0,1416065,74530,74530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560,0,0,20,74,30,38,80,13,186,0,89,30,0,30376190,0,0,1317284,8525466,2002422,2491633,4407811,727809,6061779,0,3084271,1757715,0,NA,NA,NA
"439","Union University","TN","Planning for in-person","Jackson",1,0,1,1,2,8,1,"Madison",1,2663,387,42817571,64000510,66899943,35708247,46389568,139469665,"Private non-profit",3238357,3,1,1,1,1,5,1,0,1319,1,31550,31550,31550,8200,8200,8200,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,8,338,137,137,201,1033,560,560,473,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21763,356,175,2,226,0,226,124,2,0,100,18023019,8725665,212881,0,9084473,15730613,69604,70368,106441,NA,90845,90,0,90,64,2,0,24,7983285,4936309,212881,0,2834095,7253473,80594,77130,106441,NA,118087,55,0,55,31,0,0,24,4304353,2039488,0,0,2264865,3738137,67966,65790,NA,NA,94369,68,0,68,28,0,0,40,5105445,1691868,0,0,3413577,4252051,62530,60424,NA,NA,85339,1,0,1,1,0,0,0,58000,58000,0,0,0,58000,58000,58000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,12,0,0,0,12,571936,0,0,0,571936,428952,35746,NA,NA,NA,47661,224,0,0,36,34,11,20,24,2,39,10,48,0,0,10723420,0,0,1454885,2898490,697562,1127837,1232160,102220,1137937,429673,1642656,0,0,594,-0.8286,"Negative"
"440","University of Alabama at Birmingham","AL","Planning for in-person","Birmingham",0,0,1,0,1,8,0,"Jefferson",4,7845,2245,524675419,3028818180,3223102073,3203325461,253707923,4686971460,"Public",NA,0,0,1,1,1,4,1,0,2980,0,8568,8568,8568,8100,8100,18540,21923,13836,8087,14220,10042,4178,7703,3794,3909,39,28,5603,2442,2027,3161,6935,5962,5919,973,71,19,10231,4559,421,406,1369,2942,877,536,1804,741,283,2,312,400,4,3,16530,591,1712,100,898,0,898,435,0,0,463,101504080,39899625,0,0,61604455,86102966,95883,91723,NA,NA,133055,241,0,241,117,0,0,124,39084868,14299824,0,0,24785044,32888607,136467,122221,NA,NA,199879,244,0,244,132,0,0,112,26424664,12063554,0,0,14361110,22834387,93584,91391,NA,NA,128224,300,0,300,141,0,0,159,26968634,10806143,0,0,16162491,22928011,76427,76639,NA,NA,101651,113,0,113,45,0,0,68,9025914,2730104,0,0,6295810,7451962,65947,60669,NA,NA,92585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3326,0,0,160,334,583,529,217,91,547,0,498,291,76,194698898,0,0,8909121,38448940,35477947,36899719,13401630,5448756,17703482,0,20251568,14760681,3397054,1704,0.8988,"Positive"
"441","University of Alabama in Huntsville","AL","Planning for in-person","Huntsville",0,0,1,1,1,14,0,"Madison",2,4543,1428,79465021,239618811,235286348,396487873,67638989,482841610,"Public",NA,0,1,1,1,1,NA,1,0,2437,0,9730,9730,9730,10632,10632,23604,9736,7671,2065,7125,6393,732,2611,1278,1333,37,17,638,176,166,462,2044,1682,1680,362,11,17,1557,666,4,98,189,570,181,70,210,7,0,0,2,197,0,0,16530,591,318,4,347,0,347,308,0,0,39,30593341,26548416,0,0,4044925,29582110,85251,86196,NA,NA,103716,64,0,64,49,0,0,15,8707203,6512258,0,0,2194945,8158467,127476,132903,NA,NA,146330,107,0,107,99,0,0,8,10080746,9430965,0,0,649781,9918301,92694,95262,NA,NA,81223,90,0,90,88,0,0,2,6876064,6683457,0,0,192607,6827912,75866,75948,NA,NA,96304,14,0,14,14,0,0,0,918581,918581,0,0,0,918581,65613,65613,NA,NA,NA,72,0,72,58,0,0,14,4010747,3003155,0,0,1007592,3758849,52206,51779,NA,NA,71971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,0,0,14,98,83,407,82,1,111,0,187,16,1,67958195,0,0,648314,13585455,4166850,33236585,4014890,89810,3611262,0,7808582,771174,25273,2022,0.9954,"Positive"
"442","The University of Alabama","AL","Planning for in-person","Tuscaloosa",0,0,1,1,1,13,0,"Tuscaloosa",4,37302,6632,845934399,1106158897,1294940485,2384730231,516765773,4399887593,"Public",NA,0,1,1,1,1,6,1,0,8262,1,10780,10780,10780,10780,10780,29230,38390,33028,5362,33038,29586,3452,5352,3442,1910,55,125,3786,2198,2096,1588,11148,10350,10291,798,22,22,7040,2723,195,571,1016,2062,646,401,1087,216,70,1,174,525,2,0,16530,591,678,13,1484,2,1482,1297,0,0,185,142049570,123238417,0,0,18811153,137346782,92677,95018,NA,NA,101682,311,0,311,282,0,0,29,47643657,42754519,0,0,4889138,46421373,149265,151612,NA,NA,168591,352,0,352,306,0,0,46,35444931,30339378,0,0,5105553,34168543,97070,99148,NA,NA,110990,494,0,494,419,0,0,75,40370081,33940314,0,0,6429767,38762639,78467,81003,NA,NA,85730,310,2,308,275,0,0,33,17177445,15165875,0,0,2011570,16674553,54138,55149,NA,NA,60957,17,0,17,15,0,0,2,1413456,1038331,0,0,375125,1319675,77628,69222,NA,NA,187563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4469,0,0,189,570,545,482,552,222,691,24,842,229,123,260004067,0,0,9087802,67019634,32583832,30633443,33788943,12232649,27061950,683240,29293304,12673285,4945985,1704,0.8988,"Positive"
"443","University of Alaska Anchorage","AK","Proposing a hybrid model","Anchorage",0,0,1,1,0,4,0,"Anchorage Municipality",3,3745,1150,57740708,308420868,291806655,151889997,78575051,671616542,"Public",NA,0,0,1,1,1,NA,1,0,977,1,7155,7155,7155,8802,8802,18504,14644,13885,759,6645,6451,194,7999,7434,565,32,17,2779,2451,1622,328,4874,4733,4361,141,252,14,2442,615,78,125,490,1157,316,124,890,113,23,7,110,597,30,6,430,8,214,4,494,15,479,463,3,2,11,39717964,37889823,226104,282935,1319102,39314084,82075,81835,75368,141468,119918,113,0,113,107,0,2,4,12208947,11291524,0,282935,634488,11998831,106184,105528,NA,141468,158622,136,0,136,132,1,0,3,12063962,11574234,86692,0,403036,11954534,87901,87684,86692,NA,134345,190,2,188,183,2,0,3,13147600,12809810,139412,0,198378,13084064,69596,69999,69706,NA,66126,42,0,42,41,0,0,1,2297455,2214255,0,0,83200,2276655,54206,54006,NA,NA,83200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1058,81,84,59,118,35,88,94,9,30,11,380,61,8,64555507,4408933,4077006,4447516,12156499,2280275,5419037,5464145,622694,1596551,514738,19914776,3211996,441341,4634,0.9953,"Positive"
"444","University of Arizona","AZ","Planning for in-person","Tucson",0,0,1,1,0,10,0,"Pima",4,39941,6011,959631702,2060678000,2123033000,2695837000,653519000,3922368000,"Public",NA,0,1,1,1,1,7,1,0,24,1,10467,10467,10467,11716,11716,32065,44097,34153,9944,36213,29027,7186,7884,5126,2758,59,150,4242,1903,1832,2339,12701,12029,12012,672,1458,15,12193,5839,918,163,1495,3282,1251,434,2517,1150,261,2,235,750,92,2,17763,857,2167,186,1802,0,1802,1617,0,0,185,186970700,160517144,0,0,26453556,180357311,100087,99268,NA,NA,142992,643,0,643,572,0,0,71,90514449,75400502,0,0,15113947,86735962,134893,131819,NA,NA,212872,408,0,408,380,0,0,28,39819665,36551044,0,0,3268621,39002510,95594,96187,NA,NA,116736,488,0,488,428,0,0,60,41101496,35291954,0,0,5809542,39649111,81248,82458,NA,NA,96826,81,0,81,80,0,0,1,3480471,3420471,0,0,60000,3465471,42784,42756,NA,NA,60000,176,0,176,156,0,0,20,11369246,9684055,0,0,1685191,10947948,62204,62077,NA,NA,84260,6,0,6,1,0,0,5,685373,169118,0,0,516255,556309,92718,169118,NA,NA,103251,6494,427,24,745,143,1214,1242,365,109,706,24,1047,330,118,376642739,26290788,2605650,42019410,27638010,73126960,81571161,30061083,7447576,22960212,753972,44492501,13510633,4164783,1766,0.9594,"Positive"
"445","University of Arkansas","AR","Planning for in-person","Fayetteville",0,0,1,1,2,14,0,"Washington",4,18732,4977,1185714727,904339572,1036004524,1039455247,240489120,2126762348,"Public",NA,0,0,1,1,1,9,1,0,6122,0,7384,7384,7384,7563,7563,20477,27778,23386,4392,22602,21005,1597,5176,2381,2795,43,29,2328,887,787,1441,5366,5141,5135,225,33,18,5385,2403,458,648,778,1608,633,284,306,52,3,15,29,220,11,0,6538,125,352,6,1227,0,1227,930,0,0,297,117741842,82856443,0,0,34885399,109020492,88851,89093,NA,NA,117459,340,0,340,196,0,0,144,48616559,27076810,0,0,21539749,43231622,127152,138147,NA,NA,149582,241,0,241,186,0,0,55,24324186,18294662,0,0,6029524,22816805,94676,98358,NA,NA,109628,268,0,268,236,0,0,32,22603592,20048716,0,0,2554876,21964873,81958,84952,NA,NA,79840,323,0,323,265,0,0,58,18983654,14890986,0,0,4092668,17960487,55605,56192,NA,NA,70563,55,0,55,47,0,0,8,3213851,2545269,0,0,668582,3046706,55395,54155,NA,NA,83573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3852,18,62,489,633,337,725,212,36,322,19,749,193,57,204943594,1675495,5783129,24690145,55031475,19096182,35719783,18581006,2749736,9377214,523918,22572575,7300714,1842222,3433,0.9558,"Positive"
"446","University of Arkansas at Little Rock","AR","Planning for in-person","Little Rock",0,0,1,1,1,8,0,"Pulaski",3,2593,535,80828816,195645866,187324068,148978912,45434242,324556662,"Public",NA,0,1,1,1,1,4,1,0,1399,1,6495,6495,6495,7680,7680,17400,10515,7715,2800,5142,3996,1146,5373,3719,1654,19,46,2338,1579,1561,759,2922,2528,2516,394,45,12,1653,840,74,148,177,481,278,92,275,261,0,0,0,14,10,4,6538,125,830,31,432,0,432,332,19,0,81,31634327,23697708,1314330,0,6622289,29847322,69091,71379,69175,NA,81757,136,0,136,110,4,0,22,12756457,10009953,384651,0,2361853,12127529,89173,91000,96163,NA,107357,111,0,111,80,8,0,23,8422911,5635310,572849,0,2214752,7811938,70378,70441,71606,NA,96294,93,0,93,82,1,0,10,6098539,5319117,67159,0,712263,5913757,63589,64867,67159,NA,71226,92,0,92,60,6,0,26,4356420,2733328,289671,0,1333421,3994098,43414,45555,48279,NA,51285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,946,0,0,106,148,43,145,169,3,110,4,177,34,7,45886422,0,0,4432856,12348227,1856954,8280380,8954253,166904,2456831,121252,5896731,1146345,225689,3433,0.9558,"Positive"
"447","University of Bridgeport","CT","Planning for in-person","Bridgeport",1,0,1,1,1,6,1,"Fairfield",2,7404,523,34028000,106741000,98076000,88201000,74845000,57372000,"Private non-profit",2668000,0,1,1,1,1,NA,1,0,1786,0,30750,30750,30750,18330,18330,18330,5485,3415,2070,3404,2311,1093,2081,1104,977,19,0,858,406,406,452,1016,669,669,347,1,16,841,273,1,120,37,523,71,34,413,32,0,3,1,377,0,0,41559,3826,15353,1246,148,0,148,109,37,0,2,11821350,9089801,2642681,0,88868,11534865,77938,83393,71424,NA,44434,21,0,21,17,4,0,0,2159894,1792797,367097,0,0,2123184,101104,105459,91774,NA,NA,52,0,52,41,11,0,0,4188053,3375406,812647,0,0,4106788,78977,82327,73877,NA,NA,40,0,40,23,17,0,0,2861033,1734422,1126611,0,0,2748372,68709,75410,66271,NA,NA,2,0,2,2,0,0,0,120421,120421,0,0,0,120421,60211,60211,NA,NA,NA,16,0,16,11,4,0,1,1270213,938413,287366,0,44434,1230368,76898,85310,71842,NA,44434,17,0,17,15,1,0,1,1221736,1128342,48960,0,44434,1205732,70925,75223,48960,NA,44434,280,0,0,6,117,48,16,42,10,5,0,36,0,0,20771226,0,0,362154,11964232,2441462,1287329,2455065,587698,241395,0,1431891,0,0,5532,0.9832,"Positive"
"448","University at Buffalo","NY","Considering a range of scenarios","Buffalo",0,0,1,0,3,14,0,"Erie",4,31196,4252,724999677,1141013332,1133630328,2381527190,292050739,1856047328,"Public",NA,0,0,1,1,1,NA,1,0,7988,0,6870,6870,6870,11090,11090,22650,31503,21607,9896,26475,19941,6534,5028,1666,3362,28,164,1103,152,126,951,4145,3366,3365,779,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371559,29438,5886,514,1202,0,1202,0,990,0,212,132360049,0,106276533,0,26083516,115211517,95850,NA,107350,NA,123035,376,0,376,0,322,0,54,55915448,0,46331290,0,9584158,48886280,130017,NA,143886,NA,177484,358,0,358,0,305,0,53,36395594,0,29874193,0,6521401,31777824,88765,NA,97948,NA,123045,388,0,388,0,312,0,76,34138503,0,26316517,0,7821986,29551355,76163,NA,84348,NA,102921,14,0,14,0,3,0,11,957384,0,170542,0,786842,743619,53116,NA,56847,NA,71531,66,0,66,0,48,0,18,4953120,0,3583991,0,1369129,4252439,64431,NA,74666,NA,76063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2805,13,19,155,355,461,249,193,260,477,0,395,187,41,183606111,993043,1317414,10045506,40639647,30729018,21503764,13651297,16953941,19350657,0,17938477,8881666,1601681,3688,0.9974,"Positive"
"449","University of California-Berkeley","CA","Proposing a hybrid model","Berkeley",0,0,1,1,1,14,0,"Alameda",4,89607,5980,1999056000,NA,3057546000,NA,933909000,NA,"Public",NA,0,0,1,1,1,NA,1,0,9678,1,11442,11442,11442,11442,11442,26544,42501,30853,11648,39393,29570,9823,3108,1283,1825,49,819,651,0,0,651,930,585,585,345,35,20,12148,7190,827,790,1046,2628,1166,242,2159,988,92,108,150,877,33,3,104071,4042,3118,97,1754,0,1754,1659,0,0,95,275221376,263119764,0,0,12101612,272195973,155186,158601,NA,NA,127385,871,0,871,833,0,0,38,175702962,168358662,0,0,7344300,173866887,199618,202111,NA,NA,193271,313,0,313,307,0,0,6,42732500,42021400,0,0,711100,42554725,135958,136878,NA,NA,118517,270,0,270,246,0,0,24,30515100,28487900,0,0,2027200,30008300,111142,115804,NA,NA,84467,4,0,4,0,0,0,4,250800,0,0,0,250800,188100,47025,NA,NA,NA,62700,280,0,280,273,0,0,7,24869141,24251802,0,0,617339,24714806,88267,88834,NA,NA,88191,16,0,16,0,0,0,16,1150873,0,0,0,1150873,863155,53947,NA,NA,NA,71930,8235,1324,11,930,682,1626,957,509,160,797,28,896,231,84,681189073,89632458,1096517,66574922,105065609,146386818,89990934,44453635,12370108,41115253,1566485,56428423,21232943,5274968,8997,0.9952,"Positive"
"450","University of California-Davis","CA","Proposing a hybrid model","Davis",0,0,1,0,5,14,0,"Yolo",4,78022,6296,442615000,NA,4868046000,NA,674801000,NA,"Public",NA,1,0,1,0,1,NA,1,0,7562,1,11442,11442,11442,11442,11442,26544,38167,30718,7449,36919,29967,6952,1248,751,497,45,1241,28,28,8,NA,1528,1528,1528,NA,58,20,13737,7699,669,605,1473,2974,1320,339,1717,997,59,37,139,410,32,1,104071,4042,207,23,1760,0,1760,1293,0,0,467,251776222,167647214,0,0,84129008,230743970,131105,129658,NA,NA,180148,860,0,860,546,0,0,314,157514186,94871386,0,0,62642800,141853486,164946,173757,NA,NA,199499,297,0,297,217,0,0,80,36881872,25132729,0,0,11749143,33944586,114292,115819,NA,NA,146864,339,0,339,277,0,0,62,35648791,27281802,0,0,8366989,33557044,98988,98490,NA,NA,134951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,0,256,253,0,0,3,20676401,20361297,0,0,315104,20597625,80459,80479,NA,NA,105035,8,0,8,0,0,0,8,1054972,0,0,0,1054972,791229,98904,NA,NA,NA,131872,7581,969,26,643,504,1043,1216,362,495,944,46,935,323,75,540454485,57701135,2439026,42646636,73851811,83842816,89753439,24647761,37089716,45821428,2722134,52535013,22610545,4793025,2202,0.3898,"Positive"
"451","University of California-San Diego","CA","Proposing a hybrid model","La Jolla",0,0,1,0,0,14,0,"San Diego",4,97894,6701,745690000,NA,5394020000,NA,652587000,NA,"Public",NA,1,0,0,0,0,NA,1,0,15272,1,11442,11442,11442,11442,11442,26544,37887,30285,7602,36590,29491,7099,1297,794,503,51,1010,NA,NA,NA,NA,NA,NA,NA,NA,9,19,15694,9287,680,594,1472,3098,1112,285,2085,1205,46,48,105,540,28,2,104071,4042,7163,297,1646,0,1646,1232,0,0,414,262889116,175266350,0,0,87622766,240983425,146405,142262,NA,NA,211649,741,0,741,565,0,0,176,150019512,104531913,0,0,45487599,138647612,187109,185012,NA,NA,258452,287,0,287,197,0,0,90,44516894,25059732,0,0,19457162,39652604,138162,127207,NA,NA,216191,336,0,336,223,0,0,113,44915617,24082300,0,0,20833317,39707288,118176,107992,NA,NA,184366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,0,252,247,0,0,5,22164433,21592405,0,0,572028,22021426,87387,87419,NA,NA,114406,30,0,30,0,0,0,30,1272660,0,0,0,1272660,954495,31817,NA,NA,NA,42422,7627,919,25,726,465,1377,1153,338,349,890,40,945,292,108,568365341,60499899,2254290,45550534,73887897,111299893,91122108,23574993,34485493,41945126,2698104,54802825,19745409,6498770,7473,-0.9959,"Negative"
